id|uf_entrega|dia|custo_frete
0|SP|2018-07-28|7051.5918
1|SP|2017-02-12|9151.4831
2|RJ|2017-06-16|4903.3486
3|PE|2018-05-05|1150.0858
4|RJ|2017-06-06|4292.1973
5|RJ|2017-05-23|4987546
6|RJ|2017-11-30|10252.1566
7|SP|2018-03-02|8784.8841
8|SP|2017-03-11|7515.3403
9|RS|2019-01-01|657.8198
10|SP|2018-01-20|8914.0091
11|SP|2018-11-27|11739.2599
12|RJ|2018-08-08|6091.6472
13|SP|2017-11-30|13753.4532
14|SC|2018-11-05|1092.2085
15|MG|2018-01-07|3687.6164
16|SC|2017-06-04|901.0715
17|SP|2017-08-02|7473.0547
18|MG|2018-09-14|5083.5542
19|SP|2019-02-28|8346.7393
20|RJ|2017-10-08|5647.9592
21|PR|2017-10-03|1080.8017
22|SP|2018-03-26|6820.6269
23|SP|2017-11-18|8584.0247
24|RJ|2017-08-16|5592.3422
25|SP|2017-04-09|7569.1487
26|RJ|2018-07-20|5330162
27|SC|2019-03-20|1270.9713
28|PA|2019-01-10|431.8183
29|MG|2017-10-16|2528158
30|PB|2017-10-15|154.1614
31|SP|2018-07-17|7485.2149
32|SP|2018-01-05|6022745
33|RJ|2018-10-03|5082.5925
34|MG|2017-10-18|3317.7239
35|MT|2018-09-03|336.0401
36|SP|2017-09-22|7318.7859
37|SP|2018-10-04|7512.8508
38|SP|2017-11-16|10111.7168
39|SP|2017-07-03|8577.5234
40|AL|2019-01-08|498.3282
41|ES|2018-04-08|419.0279
42|SP|2018-09-27|8185.8194
43|SP|2019-04-04|8100625
44|MG|2019-02-12|4439.6579
45|RJ|2017-12-05|7365.8378
46|PR|2019-03-09|981.9728
47|PE|2019-03-06|837.6483
48|RS|2017-02-08|908.8432
49|RJ|2017-09-24|5848.2454
50|MG|2018-07-30|3419.7508
51|BA|2018-10-07|2340.0767
52|MG|2017-08-20|2479.0536
53|RJ|2017-07-02|6792801
54|RS|2017-10-26|1865.0628
55|MG|2017-12-04|4442.4113
56|SP|2017-05-26|8330.6866
57|SP|2017-11-11|8732.0496
58|ES|2017-11-06|517.1226
59|MG|2017-04-27|2766.2077
60|MG|2017-04-15|1803.4019
61|SP|2018-06-17|9044.8232
62|SP|2017-03-25|8132.1677
63|MG|2019-02-18|4065.5793
64|SP|2017-08-05|6722.9599
